<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.11	11:00:00	1.03256	1.03413	1.03186	1.03410	4787	0	1
2022.08.11	12:00:00	1.03411	1.03414	1.03248	1.03362	5634	0	50
2022.08.11	13:00:00	1.03362	1.03429	1.03282	1.03370	5379	0	50
2022.08.11	14:00:00	1.03371	1.03403	1.03221	1.03248	6578	0	50
2022.08.11	15:00:00	1.03248	1.03518	1.03237	1.03471	10114	0	50
2022.08.11	16:00:00	1.03471	1.03645	1.03379	1.03587	10024	0	50
2022.08.11	17:00:00	1.03588	1.03612	1.03299	1.03445	10338	0	50
2022.08.11	18:00:00	1.03446	1.03463	1.03237	1.03374	8535	0	50
2022.08.11	19:00:00	1.03373	1.03395	1.03270	1.03301	5213	0	50
2022.08.11	20:00:00	1.03301	1.03327	1.03175	1.03221	5397	0	50
2022.08.11	21:00:00	1.03221	1.03250	1.03096	1.03246	4933	0	50
2022.08.11	22:00:00	1.03245	1.03264	1.03119	1.03171	3825	0	50
2022.08.11	23:00:00	1.03169	1.03257	1.03160	1.03194	1887	0	1
2022.08.12	00:00:00	1.03174	1.03231	1.03130	1.03222	589	0	7
2022.08.12	01:00:00	1.03220	1.03273	1.03204	1.03211	1579	0	1
2022.08.12	02:00:00	1.03213	1.03235	1.03179	1.03203	1212	0	1
2022.08.12	03:00:00	1.03213	1.03248	1.03066	1.03128	3407	0	1
2022.08.12	04:00:00	1.03129	1.03160	1.03049	1.03062	3306	0	1
2022.08.12	05:00:00	1.03062	1.03131	1.03056	1.03115	2354	0	1
2022.08.12	06:00:00	1.03114	1.03177	1.03084	1.03174	1765	0	1
2022.08.12	07:00:00	1.03175	1.03220	1.03143	1.03179	1665	0	50
2022.08.12	08:00:00	1.03179	1.03243	1.03138	1.03153	2553	0	50
2022.08.12	09:00:00	1.03154	1.03232	1.03099	1.03114	5583	0	50
2022.08.12	10:00:00	1.03114	1.03166	1.02912	1.02974	6575	0	50
2022.08.12	11:00:00	1.02973	1.03040	1.02882	1.03023	5211	0	50
2022.08.12	12:00:00	1.03024	1.03084	1.02950	1.02983	4744	0	50
2022.08.12	13:00:00	1.02985	1.02989	1.02853	1.02917	5249	0	50
2022.08.12	14:00:00	1.02918	1.02975	1.02778	1.02779	6173	0	50
2022.08.12	15:00:00	1.02779	1.02910	1.02690	1.02706	6831	0	50
